"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","age_interval"
0.252928628848646,0.726720761130041,0.115,0.087,1,"PAX9","ExcitatoryNeuron","60-70"
0.257279132315948,0.268568307558476,0.119,0.09,1,"TXNDC11-AS1","ExcitatoryNeuron","60-70"
0.25897633546386,0.15694301225176,0.062,0.087,1,"GREM2","ExcitatoryNeuron","60-70"
0.26029052298549,-1.48300372476671,0.044,0.067,1,"C6orf132","ExcitatoryNeuron","60-70"
0.261797545692942,0.599887992967458,0.203,0.166,1,"RAB9BP1","ExcitatoryNeuron","60-70"
0.263347017483764,-0.991139491717429,0.172,0.204,1,"TRL-TAA3-1","ExcitatoryNeuron","60-70"
0.263528337789175,1.74315739127282,0.137,0.108,1,"RNU6-151P","ExcitatoryNeuron","60-70"
0.264848786645377,0.889139713069492,0.075,0.052,1,"HNRNPA1P77","ExcitatoryNeuron","60-70"
0.266149184196131,-0.608833770410155,0.062,0.087,1,"RN7SL778P","ExcitatoryNeuron","60-70"
0.267330087985445,1.68045735993864,0.101,0.076,1,"RNU6-430P","ExcitatoryNeuron","60-70"
0.267911781193668,-1.85119824412877,0.031,0.05,1,"RPS5P8","ExcitatoryNeuron","60-70"
0.269774852293206,0.13695039967568,0.062,0.041,1,"TMEM147-AS1","ExcitatoryNeuron","60-70"
0.271800484488915,-1.28658247902223,0.031,0.05,1,"SYNJ1","ExcitatoryNeuron","60-70"
0.273222530811461,-1.56526080726695,0.079,0.105,1,"RN7SL559P","ExcitatoryNeuron","60-70"
0.2806908267747,2.10062764064941,0.053,0.035,1,"MGMT","ExcitatoryNeuron","60-70"
0.282000789483108,-0.984982746178207,0.062,0.041,1,"ACTBL2","ExcitatoryNeuron","60-70"
0.283521069169015,-1.16767974468646,0.066,0.09,1,"HMGB1P1","ExcitatoryNeuron","60-70"
0.285924348311687,-0.422918290843603,0.344,0.382,1,"OR6C2","ExcitatoryNeuron","60-70"
0.286407830304346,-0.260029224658643,0.093,0.12,1,"ACTR3BP7","ExcitatoryNeuron","60-70"
0.287581090031355,-0.865438203994878,0.057,0.038,1,"RMDN1","ExcitatoryNeuron","60-70"
0.290654185606584,0.210200089022477,0.269,0.236,1,"SNORA55","ExcitatoryNeuron","60-70"
0.297324678836389,2.12056440345286,0.031,0.05,1,"RNU7-57P","ExcitatoryNeuron","60-70"
0.29875543766893,0.40487187785438,0.176,0.219,1,"THAP6","ExcitatoryNeuron","60-70"
0.299348229554941,0.786576701508286,0.317,0.286,1,"YARS2","ExcitatoryNeuron","60-70"
0.302195719162191,-0.373254457593287,0.141,0.175,1,"TERF2","ExcitatoryNeuron","60-70"
0.305703606222935,1.4497667828977,0.11,0.087,1,"RUFY3","ExcitatoryNeuron","60-70"
0.311915184702554,0.180485272431863,0.088,0.114,1,"SDHDP5","ExcitatoryNeuron","60-70"
0.314755831556851,0.21079337914565,0.097,0.073,1,"PYCARD-AS1","ExcitatoryNeuron","60-70"
0.321526289625362,0.191042435008794,0.132,0.166,1,"RPS18","ExcitatoryNeuron","60-70"
0.325908346210212,2.26925743093213,0.057,0.041,1,"SLC26A4-AS1","ExcitatoryNeuron","60-70"
0.327949882230291,-0.720450308971021,0.04,0.058,1,"RNU7-55P","ExcitatoryNeuron","60-70"
0.334045065204,-1.20120732486786,0.07,0.093,1,"ZNF519P3","ExcitatoryNeuron","60-70"
0.340333752811916,-0.901725823069194,0.035,0.052,1,"RN7SL411P","ExcitatoryNeuron","60-70"
0.34574872993356,2.34649075703345,0.057,0.041,1,"RAD23BP1","ExcitatoryNeuron","60-70"
0.34862964235731,0.156255382105997,0.141,0.111,1,"NFIL3","ExcitatoryNeuron","60-70"
0.350206400330059,-0.808489259629539,0.079,0.058,1,"MTCO3P38","ExcitatoryNeuron","60-70"
0.351393252214901,-0.6951716340468,0.053,0.073,1,"SLC2A11","ExcitatoryNeuron","60-70"
0.355836176175025,0.741008574927831,0.07,0.052,1,"ZBTB2P1","ExcitatoryNeuron","60-70"
0.356831192068222,-1.71369232499702,0.044,0.061,1,"RN7SKP179","ExcitatoryNeuron","60-70"
0.357110050424458,0.10289428687766,0.106,0.085,1,"RPS27P9","ExcitatoryNeuron","60-70"
0.357965129862778,-1.96839136021132,0.07,0.09,1,"KLHDC10","ExcitatoryNeuron","60-70"
0.360381786662236,0.724625667254086,0.057,0.041,1,"FBXO9","ExcitatoryNeuron","60-70"
0.367064632957746,0.414594767514828,0.159,0.128,1,"PMS2P4","ExcitatoryNeuron","60-70"
0.367274546162051,-1.10164601894641,0.044,0.061,1,"ZNF655","ExcitatoryNeuron","60-70"
0.36992716696025,0.610602592227086,0.053,0.073,1,"BMP2K-DT","ExcitatoryNeuron","60-70"
0.385272465166175,-0.684130996039574,0.128,0.102,1,"TRAV26-1","ExcitatoryNeuron","60-70"
0.385914633951247,-0.384226329637224,0.04,0.055,1,"HCG4P1","ExcitatoryNeuron","60-70"
0.387006281488489,-0.555322254224026,0.084,0.105,1,"RPS6P8","ExcitatoryNeuron","60-70"
0.388606203702805,-0.103034604585098,0.132,0.155,1,"HERC2P10","ExcitatoryNeuron","60-70"
0.392112238622141,-1.30742870260405,0.053,0.07,1,"RPS26P52","ExcitatoryNeuron","60-70"
0.393477103054225,-2.65018103264991,0.053,0.07,1,"ARL2BPP7","ExcitatoryNeuron","60-70"
0.395689550601311,-0.911477334402485,0.185,0.152,1,"OR12D1","ExcitatoryNeuron","60-70"
0.396551873819392,1.46139811320779,0.053,0.038,1,"PSMB7","ExcitatoryNeuron","60-70"
0.397418444817333,-0.748859419184926,0.04,0.055,1,"SRSF1P1","ExcitatoryNeuron","60-70"
0.397705067352881,0.762927459126795,0.181,0.155,1,"ABHD18","ExcitatoryNeuron","60-70"
0.398192647642639,-0.800997629539908,0.04,0.055,1,"MGAT3-AS1","ExcitatoryNeuron","60-70"
0.398276741183732,-0.312522248633373,0.053,0.07,1,"RN7SKP31","ExcitatoryNeuron","60-70"
0.412158922874795,1.34661627256089,0.084,0.067,1,"MIR3943","ExcitatoryNeuron","60-70"
0.412315564214018,-0.694402967612394,0.106,0.085,1,"EPC1","ExcitatoryNeuron","60-70"
0.415543378814933,-0.935526075341547,0.163,0.187,1,"MIR1238","ExcitatoryNeuron","60-70"
0.415750665269258,0.790617467527872,0.084,0.108,1,"XCL2","ExcitatoryNeuron","60-70"
0.421257020673926,1.05856776179628,0.106,0.087,1,"RWDD4P1","ExcitatoryNeuron","60-70"
0.421770033331733,0.882454677045303,0.181,0.16,1,"MAS1L","ExcitatoryNeuron","60-70"
0.428376755773076,-0.56310495930288,0.048,0.064,1,"LOXL2","ExcitatoryNeuron","60-70"
0.436930925618008,0.137094121908609,0.075,0.058,1,"LINC00106","ExcitatoryNeuron","60-70"
0.446233363044902,-0.391075216130182,0.07,0.087,1,"FRA3C","ExcitatoryNeuron","60-70"
0.448092355326888,-1.32951740299201,0.048,0.064,1,"DPPA2P3","ExcitatoryNeuron","60-70"
0.44854332240225,-0.874038335044603,0.097,0.12,1,"LAMB2","ExcitatoryNeuron","60-70"
0.454455022171739,0.469323166401921,0.106,0.128,1,"CFAP157","ExcitatoryNeuron","60-70"
0.45461465250785,2.67480916871271,0.057,0.044,1,"TRHDE-AS1","ExcitatoryNeuron","60-70"
0.462078844899617,0.457712373027142,0.07,0.055,1,"PSMD3","ExcitatoryNeuron","60-70"
0.469381991801003,0.194930003431177,0.123,0.102,1,"HSF1","ExcitatoryNeuron","60-70"
0.472651314904387,-1.07424804708556,0.141,0.16,1,"OR7E29P","ExcitatoryNeuron","60-70"
0.474188277964323,-0.31541642532131,0.141,0.16,1,"MARCHF2","ExcitatoryNeuron","60-70"
0.477158742066625,-0.801312205203438,0.075,0.09,1,"TBC1D3E","ExcitatoryNeuron","60-70"
0.479145507177526,0.18255882381616,0.278,0.248,1,"MIR3168","ExcitatoryNeuron","60-70"
0.479867962048866,0.440962069646547,0.238,0.216,1,"MTCYBP42","ExcitatoryNeuron","60-70"
0.480465752995741,-0.657161119906398,0.062,0.047,1,"FOXD4L1","ExcitatoryNeuron","60-70"
0.483097909067841,-0.518225448988308,0.106,0.125,1,"HAUS5","ExcitatoryNeuron","60-70"
0.483454684988773,0.388447106498352,0.119,0.102,1,"MT-ND4L","ExcitatoryNeuron","60-70"
0.48356577532561,-1.00589463772683,0.053,0.041,1,"PPP1R21","ExcitatoryNeuron","60-70"
0.485196009688621,-0.239392031560191,0.053,0.067,1,"MIR5195","ExcitatoryNeuron","60-70"
